feature,IV,strength
segment,0.48440243368566216,strong
salary_credit_amt_1m,0.45819490453442846,strong
total_credit_amt_1m,0.4575151879541831,strong
net_flow_1m,0.37156965310625834,strong
avg_txn_size_1m,0.34833903101588726,strong
mcc_travel_amt_1m,0.3422242840300011,strong
txn_count_1m,0.31205884804169326,strong
total_debit_amt_1m,0.30415534891213303,strong
bounce_count_1m,0.2894139485026269,medium
bounce_flag_3m,0.28835237219510224,medium
bounce_amt_1m,0.27511409393107633,medium
digital_txn_ratio_1m,0.2525819710637072,medium
mcc_entertainment_amt_1m,0.24914028884265543,medium
mandate_amt_1m,0.24865972262357558,medium
pos_debit_amt_1m,0.2442818753050493,medium
neft_rtgs_credit_amt_1m,0.23278983007250975,medium
adhoc_debit_count_1m,0.23191101619349058,medium
neft_rtgs_debit_amt_1m,0.223702176737962,medium
mcc_ecommerce_amt_1m,0.2056069536129055,medium
mcc_retail_amt_1m,0.20317750700615397,medium
credit_debit_ratio_1m,0.20079714733729853,medium
bounce_rate_3m,0.20074794062026943,medium
credit_debit_ratio_3m,0.2003965136036502,medium
other_credit_amt_1m,0.19818027911385627,medium
upi_debit_amt_1m,0.1840891506587616,medium
mcc_food_dining_amt_1m,0.17675278956240487,medium
mandate_count_1m,0.16624348761319976,medium
emi_debit_amt_1m,0.1564786449592248,medium
mcc_fuel_amt_1m,0.1442863446123296,medium
mcc_utilities_amt_1m,0.14130505198918164,medium
mcc_healthcare_amt_1m,0.13616492822702772,medium
adhoc_debit_amt_1m,0.12338507114048176,medium
active_days_1m,0.11499944757082084,medium
upi_credit_amt_1m,0.10881264418177133,medium
atm_debit_amt_1m,0.10009301783109295,medium
max_txn_single_day_1m,0.0726849405802755,weak
mandate_to_total_debit_ratio,0.06566391418813235,weak
avg_txn_per_day_1m,0.056053755683981944,weak
cc_bill_payment_amt_1m,0.05167332397313873,weak
existing_cc_flag,0.010898075200544928,useless
existing_product_count,0.00570995682863649,useless
customer_id,0.00019854647103452035,useless
