feature,abs_correlation
total_credit_amt_1m,0.16506899265253028
salary_credit_amt_1m,0.16326435008212228
net_flow_1m,0.14286393963515429
mcc_travel_amt_1m,0.14167675748312628
total_credit_amt_3m,0.13901537412701467
avg_txn_size_1m,0.13877129968535745
total_credit_amt_6m,0.1313409278579789
total_debit_amt_1m,0.12306645615211398
mandate_amt_1m,0.11971262577055902
pos_debit_amt_1m,0.11267374168205838
mcc_entertainment_amt_1m,0.11116584407550616
txn_count_1m,0.10977507513030987
neft_rtgs_credit_amt_1m,0.10962318165422655
other_credit_amt_1m,0.10583163275266112
neft_rtgs_debit_amt_1m,0.1033295493151224
