feature,PSI,status
debit_velocity_3m_6m,inf,significant_drift
txn_count_3m,inf,significant_drift
txn_count_6m,inf,significant_drift
total_debit_amt_6m,inf,significant_drift
credit_velocity_3m_6m,inf,significant_drift
salary_credit_months_3m,7.672656677119864,significant_drift
total_debit_amt_3m,4.025075527752017,significant_drift
total_credit_amt_6m,3.6655062078473124,significant_drift
bounce_count_3m,2.0855150663811366,significant_drift
mandate_share_3m,2.058026981174599,significant_drift
total_credit_amt_3m,1.8953593823914372,significant_drift
bounce_rate_3m,0.010017552878682027,stable
credit_debit_ratio_3m,0.0066192356644840435,stable
upi_debit_amt_1m,0.00028388961303366306,stable
total_debit_amt_1m,0.00023944163508615732,stable
active_days_1m,0.0002288689271814657,stable
mcc_food_dining_amt_1m,0.00020569777358047734,stable
digital_txn_ratio_1m,0.0001958775528587848,stable
mandate_to_total_debit_ratio,0.00017164633403111786,stable
mandate_amt_1m,0.00016990932294677063,stable
mcc_utilities_amt_1m,0.00016966427067520708,stable
adhoc_debit_count_1m,0.00016919045827367565,stable
mcc_travel_amt_1m,0.0001655749669292026,stable
neft_rtgs_debit_amt_1m,0.00015849652823756564,stable
other_credit_amt_1m,0.00015500329195983868,stable
max_txn_single_day_1m,0.00015292084324763856,stable
credit_debit_ratio_1m,0.00015064532887878993,stable
avg_txn_per_day_1m,0.00014153158538121464,stable
mcc_ecommerce_amt_1m,0.0001407775894431422,stable
atm_debit_amt_1m,0.00014063483729767206,stable
emi_debit_amt_1m,0.00013894393036189938,stable
mcc_healthcare_amt_1m,0.00013892024829625498,stable
mcc_entertainment_amt_1m,0.00013685943574515185,stable
mcc_retail_amt_1m,0.00012106987776244578,stable
neft_rtgs_credit_amt_1m,0.00011183607136089071,stable
adhoc_debit_amt_1m,0.00010875118268472759,stable
mcc_fuel_amt_1m,0.00010706385973270442,stable
net_flow_1m,0.0001059580499525327,stable
upi_credit_amt_1m,0.00010472346983882458,stable
bounce_amt_1m,0.00010055330430398064,stable
total_credit_amt_1m,9.673880422529418e-05,stable
mandate_count_1m,9.549404281236386e-05,stable
bounce_count_1m,8.979339667459728e-05,stable
pos_debit_amt_1m,8.335047918032512e-05,stable
txn_count_1m,7.891917037202329e-05,stable
avg_txn_size_1m,5.099261417142471e-05,stable
salary_credit_amt_1m,4.8555776202230174e-05,stable
cc_bill_payment_amt_1m,4.796174978486119e-05,stable
bounce_flag_3m,7.990116018087376e-06,stable
customer_id,0.0,stable
existing_cc_flag,0.0,stable
existing_product_count,0.0,stable
segment,0.0,stable
