trial_id,algorithm,cv_score,oot_precision,oot_recall,oot_f1,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini
3,LightGBM,0.12041,0.0926,0.66921,0.16269,0.72231,0.12061,0.31777,0.44461
13,LightGBM,0.12041,0.0926,0.66921,0.16269,0.72231,0.12061,0.31777,0.44461
9,XGBoost,0.12011,0.09132,0.67645,0.16092,0.72165,0.12037,0.31889,0.44331
7,XGBoost,0.12082,0.09083,0.67997,0.16026,0.72265,0.12035,0.32048,0.4453
1,XGBoost,0.12082,0.09083,0.67997,0.16026,0.72265,0.12035,0.32048,0.4453
2,LightGBM,0.11794,0.09537,0.6248,0.16548,0.71723,0.12028,0.31339,0.43446
12,LightGBM,0.11794,0.09537,0.6248,0.16548,0.71723,0.12028,0.31339,0.43446
19,LightGBM,0.12044,0.09118,0.67977,0.16079,0.72175,0.12026,0.31698,0.44349
7,XGBoost,0.1207,0.09181,0.67567,0.16165,0.72232,0.12012,0.31844,0.44464
1,LightGBM,0.121,0.09164,0.68936,0.16178,0.72365,0.1201,0.32308,0.4473
11,LightGBM,0.121,0.09164,0.68936,0.16178,0.72365,0.1201,0.32308,0.4473
10,XGBoost,0.11985,0.09149,0.66862,0.16095,0.72196,0.12008,0.31814,0.44391
4,XGBoost,0.11985,0.09149,0.66862,0.16095,0.72196,0.12008,0.31814,0.44391
5,LightGBM,0.12138,0.09193,0.67879,0.16192,0.72227,0.12005,0.31931,0.44453
15,LightGBM,0.12138,0.09193,0.67879,0.16192,0.72227,0.12005,0.31931,0.44453
11,XGBoost,0.11901,0.09621,0.62637,0.16679,0.72019,0.11983,0.31527,0.44039
5,XGBoost,0.11901,0.09621,0.62637,0.16679,0.72019,0.11983,0.31527,0.44039
16,LogisticRegression,0.1217,0.09368,0.66295,0.16416,0.72206,0.1197,0.32324,0.44411
17,LogisticRegression,0.12169,0.09369,0.66295,0.16418,0.72206,0.1197,0.32327,0.44411
4,LightGBM,0.12025,0.09171,0.67097,0.16137,0.72221,0.11969,0.31793,0.44442
14,LightGBM,0.12025,0.09171,0.67097,0.16137,0.72221,0.11969,0.31793,0.44442
6,XGBoost,0.11694,0.1003,0.5761,0.17086,0.71569,0.11966,0.30597,0.43138
12,LogisticRegression,0.12168,0.09332,0.66002,0.16352,0.72202,0.11964,0.32358,0.44404
15,LogisticRegression,0.12164,0.09334,0.66119,0.16359,0.72202,0.11962,0.32345,0.44404
14,LogisticRegression,0.12165,0.09333,0.66021,0.16354,0.722,0.11962,0.32353,0.444
13,LogisticRegression,0.12166,0.09332,0.66002,0.16351,0.722,0.11962,0.32357,0.44399
17,LightGBM,0.12082,0.09139,0.67469,0.16098,0.72214,0.11931,0.31789,0.44427
18,LightGBM,0.11817,0.09483,0.63419,0.16498,0.71749,0.11915,0.31277,0.43498
8,XGBoost,0.11799,0.0944,0.63752,0.16445,0.71827,0.11888,0.31199,0.43654
16,LightGBM,0.12004,0.09322,0.64926,0.16303,0.72081,0.11876,0.31567,0.44162
9,XGBoost,0.11416,0.11777,0.4687,0.18824,0.70982,0.11765,0.30085,0.41963
3,XGBoost,0.11416,0.11777,0.4687,0.18824,0.70982,0.11765,0.30085,0.41963
0,LightGBM,0.11422,0.09821,0.56221,0.1672,0.70797,0.11567,0.29777,0.41595
10,LightGBM,0.11422,0.09821,0.56221,0.1672,0.70797,0.11567,0.29777,0.41595
8,XGBoost,0.11116,0.10393,0.51604,0.17301,0.70634,0.1149,0.29765,0.41268
2,XGBoost,0.11116,0.10393,0.51604,0.17301,0.70634,0.1149,0.29765,0.41268
6,XGBoost,0.09989,0.1171,0.34331,0.17464,0.67848,0.10467,0.26073,0.35697
0,XGBoost,0.09989,0.1171,0.34331,0.17464,0.67848,0.10467,0.26073,0.35697
