real_name,alias,role
customer_id,col_0001,feature
snapshot_month,snapshot_date,date
segment,col_0002,feature
txn_count_1m,col_0003,feature
txn_count_3m,col_0004,feature
txn_count_6m,col_0005,feature
active_days_1m,col_0006,feature
avg_txn_per_day_1m,col_0007,feature
max_txn_single_day_1m,col_0008,feature
total_credit_amt_1m,col_0009,feature
total_credit_amt_3m,col_0010,feature
total_credit_amt_6m,col_0011,feature
salary_credit_amt_1m,col_0012,feature
salary_credit_months_3m,col_0013,feature
upi_credit_amt_1m,col_0014,feature
neft_rtgs_credit_amt_1m,col_0015,feature
other_credit_amt_1m,col_0016,feature
total_debit_amt_1m,col_0017,feature
total_debit_amt_3m,col_0018,feature
total_debit_amt_6m,col_0019,feature
upi_debit_amt_1m,col_0020,feature
neft_rtgs_debit_amt_1m,col_0021,feature
atm_debit_amt_1m,col_0022,feature
pos_debit_amt_1m,col_0023,feature
emi_debit_amt_1m,col_0024,feature
mandate_count_1m,col_0025,feature
mandate_amt_1m,col_0026,feature
adhoc_debit_count_1m,col_0027,feature
adhoc_debit_amt_1m,col_0028,feature
mandate_to_total_debit_ratio,col_0029,feature
bounce_count_1m,col_0030,feature
bounce_count_3m,col_0031,feature
bounce_amt_1m,col_0032,feature
bounce_flag_3m,col_0033,feature
mcc_retail_amt_1m,col_0034,feature
mcc_food_dining_amt_1m,col_0035,feature
mcc_travel_amt_1m,col_0036,feature
mcc_utilities_amt_1m,col_0037,feature
mcc_fuel_amt_1m,col_0038,feature
mcc_healthcare_amt_1m,col_0039,feature
mcc_entertainment_amt_1m,col_0040,feature
mcc_ecommerce_amt_1m,col_0041,feature
net_flow_1m,col_0042,feature
credit_debit_ratio_1m,col_0043,feature
avg_txn_size_1m,col_0044,feature
cc_bill_payment_amt_1m,col_0045,feature
digital_txn_ratio_1m,col_0046,feature
existing_product_count,col_0047,feature
existing_cc_flag,col_0048,feature
cc_conversion_next_1m,target,target
