trial_id,algorithm,cv_score,oot_precision,oot_recall,oot_f1,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini
5,LightGBM,0.12131,0.09107,0.68075,0.16064,0.72229,0.12065,0.31841,0.44458
11,LightGBM,0.12131,0.09107,0.68075,0.16064,0.72229,0.12065,0.31841,0.44458
10,XGBoost,0.12019,0.09122,0.67077,0.16059,0.7223,0.12042,0.31832,0.4446
4,XGBoost,0.12019,0.09122,0.67077,0.16059,0.7223,0.12042,0.31832,0.4446
1,LightGBM,0.12111,0.09134,0.69112,0.16136,0.72317,0.12038,0.32251,0.44635
7,LightGBM,0.12111,0.09134,0.69112,0.16136,0.72317,0.12038,0.32251,0.44635
12,HistGradientBoosting,0.12156,0.0,0.0,0.0,0.72101,0.12033,0.31665,0.44202
12,HistGradientBoosting,0.12156,0.0,0.0,0.0,0.72101,0.12033,0.31665,0.44202
3,LightGBM,0.12135,0.09185,0.6741,0.16167,0.72224,0.1201,0.31784,0.44448
9,LightGBM,0.12135,0.09185,0.6741,0.16167,0.72224,0.1201,0.31784,0.44448
4,LightGBM,0.12046,0.09171,0.67625,0.16151,0.7229,0.11984,0.31892,0.44581
10,LightGBM,0.12046,0.09171,0.67625,0.16151,0.7229,0.11984,0.31892,0.44581
7,XGBoost,0.12088,0.09093,0.68486,0.16054,0.72266,0.11984,0.32187,0.44533
1,XGBoost,0.12088,0.09093,0.68486,0.16054,0.72266,0.11984,0.32187,0.44533
17,HistGradientBoosting,0.12114,0.0,0.0,0.0,0.72047,0.11959,0.319,0.44094
17,HistGradientBoosting,0.12114,0.0,0.0,0.0,0.72047,0.11959,0.319,0.44094
13,HistGradientBoosting,0.11978,0.0,0.0,0.0,0.72097,0.11932,0.31748,0.44195
13,HistGradientBoosting,0.11978,0.0,0.0,0.0,0.72097,0.11932,0.31748,0.44195
15,HistGradientBoosting,0.12108,0.0,0.0,0.0,0.72091,0.11906,0.31924,0.44183
15,HistGradientBoosting,0.12108,0.0,0.0,0.0,0.72091,0.11906,0.31924,0.44183
2,LightGBM,0.11963,0.09285,0.65708,0.16271,0.72011,0.119,0.3139,0.44021
8,LightGBM,0.11963,0.09285,0.65708,0.16271,0.72011,0.119,0.3139,0.44021
11,XGBoost,0.11988,0.09423,0.65063,0.16462,0.72055,0.11894,0.31756,0.44111
5,XGBoost,0.11988,0.09423,0.65063,0.16462,0.72055,0.11894,0.31756,0.44111
14,HistGradientBoosting,0.12039,0.0,0.0,0.0,0.71998,0.11867,0.31701,0.43995
14,HistGradientBoosting,0.12039,0.0,0.0,0.0,0.71998,0.11867,0.31701,0.43995
16,HistGradientBoosting,0.12108,0.0,0.0,0.0,0.7209,0.11867,0.3176,0.44181
16,HistGradientBoosting,0.12108,0.0,0.0,0.0,0.7209,0.11867,0.3176,0.44181
8,XGBoost,0.11705,0.09741,0.5892,0.16718,0.71344,0.11866,0.30628,0.42688
2,XGBoost,0.11705,0.09741,0.5892,0.16718,0.71344,0.11866,0.30628,0.42688
9,XGBoost,0.11461,0.11268,0.49726,0.18372,0.71085,0.1173,0.29927,0.4217
3,XGBoost,0.11461,0.11268,0.49726,0.18372,0.71085,0.1173,0.29927,0.4217
0,LightGBM,0.11195,0.1011,0.54538,0.17058,0.70578,0.11581,0.2982,0.41155
6,LightGBM,0.11195,0.1011,0.54538,0.17058,0.70578,0.11581,0.2982,0.41155
6,XGBoost,0.0965,0.12651,0.28697,0.1756,0.68244,0.10511,0.26564,0.36487
0,XGBoost,0.0965,0.12651,0.28697,0.1756,0.68244,0.10511,0.26564,0.36487
