trial_id,algorithm,cv_score,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini,oot_precision,oot_recall,oot_f1
1,LightGBM,0.12129,0.72304,0.12076,0.32169,0.44608,0.15031,0.36933,0.21366
5,LightGBM,0.12131,0.72229,0.12065,0.31841,0.44458,0.15051,0.36972,0.21393
3,LightGBM,0.1216,0.72197,0.12038,0.31814,0.44394,0.15063,0.36933,0.21399
4,LightGBM,0.12093,0.72323,0.12033,0.32145,0.44646,0.15305,0.3529,0.2135
11,XGBoost,0.12087,0.7227,0.12027,0.32147,0.44541,0.15252,0.35915,0.21411
14,HistGradientBoosting,0.12129,0.72074,0.12017,0.31572,0.44147,0.15171,0.36365,0.2141
18,HistGradientBoosting,0.12047,0.72064,0.11987,0.31572,0.44128,0.15127,0.36483,0.21386
17,HistGradientBoosting,0.12132,0.72086,0.11958,0.31915,0.44172,0.15148,0.36483,0.21407
8,XGBoost,0.12105,0.72272,0.11952,0.32166,0.44543,0.15155,0.36052,0.2134
13,XGBoost,0.1183,0.71925,0.11944,0.31383,0.43851,0.152,0.35348,0.21259
19,HistGradientBoosting,0.12104,0.72075,0.11909,0.31906,0.4415,0.15106,0.36737,0.21409
6,LightGBM,0.12026,0.72195,0.11894,0.31652,0.44389,0.15036,0.36776,0.21345
12,XGBoost,0.11988,0.72055,0.11894,0.31756,0.44111,0.15234,0.35563,0.21331
15,HistGradientBoosting,0.12011,0.72028,0.11866,0.31889,0.44056,0.1518,0.36033,0.21361
2,LightGBM,0.11828,0.71712,0.11836,0.30904,0.43423,0.15222,0.35955,0.21388
10,XGBoost,0.11646,0.71351,0.11802,0.3032,0.42703,0.15207,0.34605,0.21129
0,LightGBM,0.11416,0.7103,0.11751,0.30273,0.42059,0.14965,0.3392,0.20768
16,HistGradientBoosting,0.11873,0.71832,0.1169,0.31187,0.43664,0.14887,0.37774,0.21357
9,XGBoost,0.11313,0.70553,0.11684,0.29595,0.41107,0.15324,0.32003,0.20725
7,XGBoost,0.10051,0.68741,0.10701,0.27315,0.37481,0.13012,0.30203,0.18188
